crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
futures-executor,228253674,33488770,2024-10-05T07:07:34.937861Z,2018-03-05T22:43:02.959105Z,0.3.31,"Executors for asynchronous tasks based on the futures-rs library.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.1467173316999927,2024-10-05 07:07:34.937861+00:00,185,2018-03-05 22:43:02.959105+00:00,2590,0
thread_local,228189904,31365288,2024-02-20T21:13:16.752Z,2016-04-08T07:42:40.999679Z,1.1.8,Per-object thread-local storage,https://github.com/Amanieu/thread_local-rs,341,45,11,Apache License 2.0,0.13745256670075992,2024-02-20 21:13:16.752000+00:00,412,2016-04-08 07:42:40.999679+00:00,3287,0
windows_aarch64_gnullvm,227352937,47550715,2025-01-07T15:42:32.178766Z,2022-09-01T20:55:47.169004Z,0.53.0,Import lib for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.20914933243197997,2025-01-07 15:42:32.178766+00:00,91,2022-09-01 20:55:47.169004+00:00,949,0
windows_x86_64_gnullvm,227345987,47556461,2025-01-07T15:42:58.357250Z,2022-09-01T21:01:36.169638Z,0.53.0,Import lib for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.20918100041062085,2025-01-07 15:42:58.357250+00:00,91,2022-09-01 21:01:36.169638+00:00,949,0
tokio-macros,225678133,35581813,2025-01-08T15:57:13.993235Z,2019-04-24T03:12:38.961545Z,2.5.0,"Tokio's proc macros.
",https://github.com/tokio-rs/tokio,28291,2593,344,MIT License,0.15766619710559196,2025-01-08 15:57:13.993235+00:00,90,2019-04-24 03:12:38.961545+00:00,2176,0
ring,223265472,42788223,2025-03-11T19:42:03.889273Z,2016-08-15T22:39:18.912891Z,0.17.14,An experiment.,https://github.com/briansmith/ring,3917,740,49,Other,0.1916472915256686,2025-03-11 19:42:03.889273+00:00,27,2016-08-15 22:39:18.912891+00:00,3157,0
untrusted,222532218,41786311,2021-07-13T22:13:26.650010Z,2016-06-05T23:47:03.228558Z,0.9.0,"Safe, fast, zero-panic, zero-crashing, zero-allocation parsing of untrusted inputs in Rust.",https://github.com/briansmith/untrusted,201,24,12,Other,0.1877764549131488,2021-07-13 22:13:26.650010+00:00,1364,2016-06-05 23:47:03.228558+00:00,3228,0
flate2,221701939,33599616,2025-04-02T00:59:51.994945Z,2014-11-11T06:37:58.925398Z,1.1.1,"DEFLATE compression and decompression exposed as Read/BufRead/Write streams.
Supports miniz_oxide and multiple zlib implementations. Supports zlib, gzip,
and raw deflate streams.
",https://github.com/rust-lang/flate2-rs,991,173,24,Apache License 2.0,0.15155309940703765,2025-04-02 00:59:51.994945+00:00,6,2014-11-11 06:37:58.925398+00:00,3801,0
async-trait,221167644,34515601,2025-03-15T01:00:14.583735Z,2019-07-23T16:10:00.020678Z,0.1.88,Type erasure for async trait methods,https://github.com/dtolnay/async-trait,1959,87,6,Apache License 2.0,0.15606080697771507,2025-03-15 01:00:14.583735+00:00,24,2019-07-23 16:10:00.020678+00:00,2086,0
crossbeam-channel,220794731,27397646,2024-12-15T15:26:35.399605Z,2017-11-26T19:20:24.266475Z,0.5.14,Multi-producer multi-consumer channels for message passing,https://github.com/crossbeam-rs/crossbeam,7772,485,150,Apache License 2.0,0.12408650277075679,2024-12-15 15:26:35.399605+00:00,114,2017-11-26 19:20:24.266475+00:00,2689,0
crossbeam-deque,219981346,32676002,2024-12-15T15:29:28.168345Z,2017-11-26T18:02:02.212875Z,0.8.6,Concurrent work-stealing deque,https://github.com/crossbeam-rs/crossbeam,7772,485,150,Apache License 2.0,0.14853987664935916,2024-12-15 15:29:28.168345+00:00,114,2017-11-26 18:02:02.212875+00:00,2689,0
textwrap,218953416,19903024,2025-03-03T17:01:53.984799Z,2016-12-17T01:34:45.436054Z,0.16.2,"Library for word wrapping, indenting, and dedenting strings. Has optional support for Unicode and emojis as well as machine hyphenation.",https://github.com/mgeisler/textwrap,487,46,27,MIT License,0.09090072383250691,2025-03-03 17:01:53.984799+00:00,36,2016-12-17 01:34:45.436054+00:00,3034,0
tracing-attributes,218774967,35779267,2024-11-26T22:23:02.732936Z,2019-08-08T22:42:06.221385Z,0.1.28,"Procedural macro attributes for automatically instrumenting functions.
",https://github.com/tokio-rs/tracing,5827,773,751,MIT License,0.16354369739203298,2024-11-26 22:23:02.732936+00:00,132,2019-08-08 22:42:06.221385+00:00,2069,0
hex,216106076,32544053,2021-03-03T10:48:58.682837Z,2015-10-23T05:46:39.823534Z,0.4.3,Encoding and decoding data into/from hexadecimal representation.,https://github.com/KokaKiwi/rust-hex,215,57,34,Apache License 2.0,0.15059295695138158,2021-03-03 10:48:58.682837+00:00,1497,2015-10-23 05:46:39.823534+00:00,3455,0
wasi,213763279,41670109,2025-02-28T17:50:49.661785Z,2019-03-27T16:47:22.126268Z,0.14.2+wasi-0.2.4,WASI API bindings for Rust,https://github.com/bytecodealliance/wasi-rs,290,49,2,Apache License 2.0,0.19493576817747074,2025-02-28 17:50:49.661785+00:00,38,2019-03-27 16:47:22.126268+00:00,2204,0
mime,213246480,32426215,2023-03-20T15:05:04.272177Z,2014-11-20T08:33:46.224820Z,0.3.17,Strongly Typed Mimes,https://github.com/hyperium/mime,190,79,48,MIT License,0.15205979015456667,2023-03-20 15:05:04.272177+00:00,750,2014-11-20 08:33:46.224820+00:00,3792,0
object,213203082,33021906,2024-12-21T12:45:17.244555Z,2016-08-19T20:44:53.178735Z,0.36.7,A unified interface for reading and writing object file formats.,https://github.com/gimli-rs/object,713,161,34,Apache License 2.0,0.15488474974297042,2024-12-21 12:45:17.244555+00:00,108,2016-08-19 20:44:53.178735+00:00,3153,0
toml_edit,212923542,48994143,2025-02-10T20:54:41.632313Z,2017-12-17T22:25:35.748546Z,0.22.24,Yet another format-preserving TOML parser.,https://github.com/toml-rs/toml,800,117,81,Apache License 2.0,0.23010204761669803,2025-02-10 20:54:41.632313+00:00,56,2017-12-17 22:25:35.748546+00:00,2668,0
tokio-rustls,211931558,43700089,2025-03-01T14:02:35.644698Z,2017-02-22T05:32:09.546440Z,0.26.2,Asynchronous TLS/SSL streams for Tokio using Rustls.,https://github.com/rustls/tokio-rustls,147,79,16,Apache License 2.0,0.20619906451119469,2025-03-01 14:02:35.644698+00:00,38,2017-02-22 05:32:09.546440+00:00,2967,0
